open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base_volue,taker_quote_volume,ignore
1560278820000,7849.57000000,7851.73000000,7846.98000000,7851.33000000,24.59977100,1560278879999,193113.06837526,166,21.70167300,170362.23569094,0
1560278880000,7851.73000000,7856.03000000,7846.39000000,7849.72000000,22.32014400,1560278939999,175269.12441187,225,17.14592700,134639.44574068,0
1560278940000,7852.18000000,7854.31000000,7845.60000000,7845.60000000,10.46545800,1560278999999,82155.68880174,165,4.14891100,32574.01489750,0
1560279000000,7845.63000000,7852.04000000,7845.60000000,7848.96000000,13.26177800,1560279059999,104090.08239020,253,8.90317400,69882.80150967,0
1560279060000,7850.10000000,7852.04000000,7847.31000000,7849.65000000,11.75623000,1560279119999,92282.96053712,163,3.94664300,30980.05938333,0
1560279120000,7849.04000000,7850.00000000,7845.60000000,7847.78000000,8.71365800,1560279179999,68381.61032443,218,3.25375600,25536.44763139,0
1560279180000,7847.78000000,7848.92000000,7841.00000000,7843.20000000,13.80374400,1560279239999,108281.08578184,190,7.35933200,57735.95877208,0
1560279240000,7841.01000000,7843.84000000,7840.99000000,7841.41000000,7.90254500,1560279299999,61973.80069165,191,4.52212500,35465.06592431,0
1560279300000,7841.31000000,7850.92000000,7841.31000000,7850.90000000,7.39663500,1560279359999,58047.21286636,142,5.29846100,41580.59285953,0
1560279360000,7850.49000000,7860.00000000,7850.18000000,7858.39000000,7.48441400,1560279419999,58787.30700572,171,4.23995200,33303.00472475,0
1560279420000,7858.90000000,7861.98000000,7856.62000000,7860.47000000,14.71317500,1560279479999,115643.63370330,184,8.15688400,64114.66191446,0
1560279480000,7861.99000000,7863.98000000,7858.54000000,7861.95000000,19.41328100,1560279539999,152621.80761241,185,4.87471000,38324.92606998,0
1560279540000,7861.53000000,7864.17000000,7860.13000000,7862.01000000,26.94109300,1560279599999,211806.50002358,116,19.68926900,154795.57854164,0
1560279600000,7863.45000000,7864.57000000,7860.34000000,7862.36000000,4.71648900,1560279659999,37082.59326137,156,3.07146200,24149.86379160,0
1560279660000,7862.36000000,7865.00000000,7862.36000000,7864.97000000,6.34914200,1560279719999,49931.44465920,112,3.88810200,30577.54158014,0
1560279720000,7865.00000000,7866.83000000,7855.21000000,7861.54000000,18.35047600,1560279779999,144292.15744716,191,4.34308800,34154.04228690,0
1560279780000,7857.50000000,7859.78000000,7855.54000000,7857.10000000,16.11206600,1560279839999,126597.04744490,128,4.45415500,34998.78926626,0
1560279840000,7858.21000000,7858.62000000,7853.27000000,7857.97000000,6.06694500,1560279899999,47664.67535805,119,1.93666600,15217.18110102,0
1560279900000,7857.96000000,7860.00000000,7855.88000000,7856.10000000,5.58600100,1560279959999,43893.79817788,95,2.88769100,22693.28185786,0
1560279960000,7855.96000000,7856.84000000,7850.00000000,7852.30000000,16.96048900,1560280019999,133181.50342451,211,3.10557800,24391.65181090,0
1560280020000,7852.30000000,7853.53000000,7850.09000000,7851.40000000,5.93345800,1560280079999,46588.18833439,113,3.69997100,29051.69539523,0
1560280080000,7850.87000000,7853.40000000,7850.27000000,7852.53000000,10.98582300,1560280139999,86267.59065277,154,5.15646800,40492.93606708,0
1560280140000,7851.05000000,7852.39000000,7850.00000000,7850.06000000,7.85288000,1560280199999,61648.12492622,132,2.76017500,21669.23969708,0
1560280200000,7850.01000000,7851.50000000,7845.00000000,7845.19000000,6.22216000,1560280259999,48837.59074591,153,2.68623100,21084.80129853,0
1560280260000,7845.61000000,7849.28000000,7841.76000000,7844.15000000,7.29236100,1560280319999,57212.33071425,126,2.41242200,18925.51473247,0
1560280320000,7843.00000000,7845.21000000,7841.33000000,7843.90000000,10.96302400,1560280379999,85984.93768760,151,9.06888200,71129.74384158,0
1560280380000,7843.27000000,7850.56000000,7842.42000000,7848.54000000,6.52063000,1560280439999,51156.18071808,95,3.07742300,24145.53284390,0
1560280440000,7850.02000000,7852.86000000,7846.93000000,7851.81000000,4.28110500,1560280499999,33607.36323945,126,2.03939700,16009.90899275,0
1560280500000,7852.33000000,7859.95000000,7851.79000000,7859.91000000,6.98851900,1560280559999,54894.77842959,127,4.71275800,37018.31562262,0
1560280560000,7857.46000000,7859.95000000,7855.93000000,7859.00000000,9.76026600,1560280619999,76699.14076596,168,7.03150400,55255.89664103,0
1560280620000,7859.34000000,7859.92000000,7855.91000000,7855.91000000,7.18141900,1560280679999,56433.68959967,124,4.11678300,32352.74679303,0
1560280680000,7856.15000000,7859.95000000,7855.02000000,7857.40000000,6.91613700,1560280739999,54338.56029413,130,3.53420000,27767.73978202,0
1560280740000,7857.45000000,7859.85000000,7856.74000000,7857.21000000,6.11179800,1560280799999,48029.97537188,113,4.15830700,32679.69465381,0
1560280800000,7857.06000000,7859.79000000,7855.91000000,7858.28000000,6.78488400,1560280859999,53308.34489913,128,2.26207800,17774.50024418,0
1560280860000,7858.30000000,7863.30000000,7856.23000000,7862.44000000,5.51574800,1560280919999,43350.97961439,128,3.51624200,27637.64503648,0
1560280920000,7862.44000000,7862.64000000,7855.14000000,7856.42000000,24.63581100,1560280979999,193575.15777509,171,15.46548000,121518.79096955,0
1560280980000,7856.98000000,7858.45000000,7855.37000000,7855.68000000,6.83177700,1560281039999,53676.99894573,102,3.51652100,27629.79681701,0
