open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base_volue,taker_quote_volume,ignore
1560339840000,7968.75000000,7974.57000000,7967.57000000,7973.08000000,16.67437700,1560339899999,132899.04497341,137,6.03765600,48132.98626608,0
1560339900000,7973.09000000,7976.90000000,7973.05000000,7976.88000000,6.09348900,1560339959999,48595.69512195,129,3.09371100,24672.73349675,0
1560339960000,7977.33000000,7982.47000000,7976.88000000,7979.09000000,35.44103300,1560340019999,282830.86404848,268,16.29888000,130066.65108681,0
1560340020000,7979.09000000,7987.00000000,7978.04000000,7984.68000000,21.40145700,1560340079999,170824.46921924,242,10.08003800,80458.10820284,0
1560340080000,7984.68000000,7991.60000000,7982.92000000,7990.02000000,23.61406700,1560340139999,188640.17193691,332,9.55028200,76291.12661304,0
1560340140000,7990.58000000,7995.19000000,7987.45000000,7991.13000000,28.02552200,1560340199999,223989.78419973,284,16.11140800,128784.99772922,0
1560340200000,7994.00000000,7994.14000000,7987.29000000,7989.54000000,15.64027900,1560340259999,124978.02083653,281,8.83961000,70639.34380524,0
1560340260000,7990.34000000,7990.35000000,7985.83000000,7989.99000000,18.74115600,1560340319999,149719.09183423,225,13.50445900,107887.52756588,0
1560340320000,7988.24000000,7989.97000000,7977.48000000,7982.09000000,25.55487300,1560340379999,204006.80340539,259,5.78911500,46220.97609046,0
1560340380000,7983.41000000,7983.59000000,7977.89000000,7978.05000000,10.60599600,1560340439999,84630.85309681,180,6.14925800,49071.74028651,0
1560340440000,7978.06000000,7978.07000000,7970.00000000,7972.92000000,13.70244000,1560340499999,109248.15953336,246,3.84370100,30650.44988133,0
1560340500000,7974.69000000,7976.46000000,7961.89000000,7962.91000000,17.06244700,1560340559999,136003.76114780,283,9.62729200,76758.70982863,0
1560340560000,7966.39000000,7970.67000000,7963.38000000,7965.84000000,23.46913500,1560340619999,186992.14185483,295,13.17641100,104988.02826808,0
1560340620000,7965.88000000,7968.42000000,7956.69000000,7966.05000000,74.69113500,1560340679999,594717.03060745,540,57.09752600,454647.26334500,0
1560340680000,7963.25000000,7970.36000000,7960.76000000,7961.26000000,26.63183700,1560340739999,212170.76617210,334,12.51694300,99729.67690825,0
1560340740000,7964.41000000,7967.80000000,7956.69000000,7967.80000000,30.31519900,1560340799999,241381.05626651,435,16.14453600,128569.61776548,0
1560340800000,7967.91000000,7969.41000000,7961.28000000,7961.40000000,31.30145400,1560340859999,249354.14158701,314,12.89795700,102761.54691839,0
1560340860000,7961.40000000,7964.96000000,7957.87000000,7964.89000000,20.89845300,1560340919999,166391.58537274,231,13.01622500,103646.11606856,0
1560340920000,7964.20000000,7973.99000000,7964.20000000,7969.57000000,22.04570700,1560340979999,175708.94134265,225,15.73945900,125451.29166421,0
1560340980000,7968.10000000,7975.00000000,7968.10000000,7973.68000000,11.01808700,1560341039999,87835.81429889,158,3.53733700,28203.76157305,0
1560341040000,7973.68000000,7979.79000000,7970.57000000,7977.22000000,13.23981200,1560341099999,105600.31999515,246,7.38407800,58896.78434061,0
1560341100000,7975.76000000,7990.00000000,7975.76000000,7989.95000000,40.07239100,1560341159999,319816.30862065,292,12.59316200,100549.74755891,0
1560341160000,7988.54000000,7992.00000000,7980.10000000,7981.22000000,21.92468000,1560341219999,175077.92754695,329,7.94903400,63485.01697408,0
1560341220000,7982.83000000,8000.00000000,7980.00000000,7987.89000000,72.89655100,1560341279999,582727.33633743,540,39.53111900,315986.44149004,0
1560341280000,7992.62000000,7997.56000000,7988.13000000,7992.51000000,53.96699100,1560341339999,431269.65317259,371,25.69217100,205329.44824524,0
1560341340000,7992.68000000,8003.00000000,7992.67000000,7994.07000000,97.48134500,1560341399999,779776.35048639,536,73.40413200,587187.39883635,0
1560341400000,7995.56000000,7996.39000000,7978.56000000,7984.55000000,27.35581600,1560341459999,218534.14777459,399,13.70473700,109494.89381728,0
1560341460000,7979.59000000,7983.14000000,7975.00000000,7977.17000000,19.55359600,1560341519999,156000.11175245,300,9.72703400,77611.39998150,0
1560341520000,7976.63000000,7984.32000000,7976.09000000,7979.70000000,13.71002000,1560341579999,109412.65349908,206,7.58271200,60515.44953563,0
1560341580000,7977.63000000,7989.99000000,7973.47000000,7989.99000000,32.08520600,1560341639999,256017.49782378,316,15.73127600,125545.16012527,0
1560341640000,7987.90000000,7993.73000000,7980.34000000,7982.81000000,14.92259700,1560341699999,119173.56035514,241,9.73727000,77759.92080315,0
